Close,Date,High,Low,Market_cap,Name,Open,Ticker,Volume
119.35115872,2020-11-26T23:59:59.999Z,132.32118792,109.00287383,2120770730.4880724,Monero,129.13065575,XMR,1692582467.196581
117.3132112,2020-11-27T23:59:59.999Z,122.15285531,112.10563234,2084661129.6029902,Monero,119.37728252,XMR,1120096045.310006
122.00398249,2020-11-28T23:59:59.999Z,124.5856016,114.54087511,2168139714.7937303,Monero,117.32427068,XMR,888532372.9989505
123.99252222,2020-11-29T23:59:59.999Z,125.87512324,119.47274555,2203590270.621619,Monero,122.01475201,XMR,990558821.0816221
129.7142671,2020-11-30T23:59:59.999Z,129.74363,121.84002616,2305391515.8368382,Monero,123.99361793,XMR,960312531.2615312
125.92882905,2020-12-01T23:59:59.999Z,132.27625682,121.88724708,2238232238.7143917,Monero,129.77022593,XMR,867323872.7365448
127.89871786,2020-12-02T23:59:59.999Z,129.13384188,124.7473136,2273362578.2284775,Monero,125.93290128,XMR,952136002.6576316
133.01735546,2020-12-03T23:59:59.999Z,133.78997766,126.59227911,2364465850.2886014,Monero,127.91480069,XMR,886562180.9892114
127.01794755,2020-12-04T23:59:59.999Z,135.70050334,126.93457144,2257939158.9966335,Monero,133.03729317,XMR,938138556.8931231
133.36055133,2020-12-05T23:59:59.999Z,133.50082652,124.70447079,2370812026.0878778,Monero,127.00737578,XMR,780583418.7423186
134.65055896,2020-12-06T23:59:59.999Z,134.7962244,128.47839444,2393871508.285005,Monero,133.35917851,XMR,912728955.8672398
138.92463662,2020-12-07T23:59:59.999Z,143.74277326,134.22927982,2469986961.179824,Monero,134.64978345,XMR,1034799193.1492971
135.71199524,2020-12-08T23:59:59.999Z,143.0351969,133.18597303,2412988338.799947,Monero,138.92195404,XMR,840892037.605563
132.62823141,2020-12-09T23:59:59.999Z,135.87186006,127.58454932,2358284724.577766,Monero,135.7079175,XMR,913661144.8233123
133.89603063,2020-12-10T23:59:59.999Z,134.99561169,129.68409779,2380943694.4737372,Monero,132.6221489,XMR,542981596.5380135
141.55613272,2020-12-11T23:59:59.999Z,141.62423042,129.95279692,2517280714.344336,Monero,133.90183445,XMR,621798045.1565442
146.72313158,2020-12-12T23:59:59.999Z,149.44621796,141.53501206,2609305917.839258,Monero,141.55289556,XMR,872906517.3573184
151.90993044,2020-12-13T23:59:59.999Z,152.18904522,143.90759052,2701686452.8456664,Monero,146.73419388,XMR,812781072.4978408
157.73521691,2020-11-14T23:59:59.999Z,161.46274144,155.48753259,2929240836.0763555,Bitcoin SV,161.14622654,BSV,755680913.2895395
154.43092792,2020-11-15T23:59:59.999Z,158.22810363,152.91094941,2868014231.908143,Bitcoin SV,157.73521583,BSV,427809861.3673871
158.09513398,2020-11-16T23:59:59.999Z,160.63021903,153.40052082,2936209290.5442553,Bitcoin SV,154.43092457,BSV,1273868443.8823776
166.85010842,2020-11-17T23:59:59.999Z,169.88782555,159.0723526,3098954264.6098285,Bitcoin SV,159.84586724,BSV,641073792.3285415
162.15277762,2020-11-18T23:59:59.999Z,170.76102673,159.01763234,3011853321.3770437,Bitcoin SV,166.84957201,BSV,603602084.8455281
161.59485788,2020-11-19T23:59:59.999Z,166.14190228,158.05473012,3001634850.5304294,Bitcoin SV,162.15237263,BSV,466428689.2626244
